timestep	mean	median
5059	79.69770843702597	-16.114761482917395
10616	382.46075086190575	490.40967775402316
16002	372.7880870189857	236.01058683593118
21802	525.3484875271895	580.6031304779399
26882	426.3728732413767	428.4245587686597
32442	677.204770846513	776.0417685003313
38229	637.3110402408214	762.7338928164327
43739	737.7246115736884	831.7254002479224
48903	745.2206928366935	802.50070581376
54067	885.664079347693	880.3239100504904
59707	887.918629662266	881.7521607300072
65707	916.7099593368799	920.3509547039444
71707	939.5631820617302	934.2039848888037
77707	964.5723949630725	963.8817777559875
83707	938.8174418319628	938.2689904779592
89707	934.8185535558371	929.3039460666965
95399	969.906400788395	970.7687182021618
101399	942.317928507919	940.1179995292791
107258	954.6075727877787	956.9494254193498
113258	965.3196012807466	966.3044047306424
119258	960.4499208583826	975.4346583544557
125258	980.9643569847506	980.7651877304888
131258	980.2752630645391	982.4357096755016
137258	992.4251669392977	991.1661719769106
143258	1043.426102649916	1055.9236358225362
149258	1046.4130186997231	1054.132585653159
155258	1115.626349445445	1112.3087194801342
161258	1004.1474164227833	990.9728010227404
167258	992.9939543684661	992.6748458432787
173258	1012.378568684494	1007.1787898080997
179258	1027.8710177015073	1037.6068020891723
185258	1011.9068566469623	1014.8738632595936
191258	1038.9801790985048	1015.3758995863523
197258	1023.3019403876875	1027.387839681418
203258	1022.9874065642209	1003.7497770989494
209258	1076.5468709789084	1084.0926853088722
214882	1029.6590257423231	1046.9047870837223
220128	1012.5814647997793	1033.969611833864
226128	1041.4312390223054	1044.3672390028719
232128	1157.9243679715967	1130.613521664823
238076	1217.1166301551877	1241.5955134321744
243534	1121.389545378174	1111.013914995248
249491	1146.7444797762903	1171.0711937650967
254621	1060.7930885729045	1029.5084341715974
260434	1161.6894517545202	1169.8309796880965
265845	1078.796281702027	1088.5936905904082
271706	1111.254175695542	1142.8904011190891
277195	1064.9803817707116	1027.9267378862717
283080	955.703854015483	980.3629336932953
289080	915.0087131517441	947.5659159637265
294535	1045.6749215348837	1143.685656169731
300535	940.7130702064236	1033.6218756274438
305576	879.2508685745082	957.4946509778686
311255	863.2507642290273	850.6180586761506
316544	783.4605419222465	743.4949131711896
321874	813.4111043632804	811.9342301210471
327874	794.1957390502732	787.6170235658806
333219	749.6012085993954	751.4289599011133
338350	790.4831651973483	800.6328453366611
343514	792.4292118441134	788.3403460841682
349262	702.5117209171578	742.9178561305541
355262	765.3805936008681	751.6877292645656
361262	715.8780752994367	754.9200987563206
366813	718.1274552258863	662.216259124706
372574	754.8342637862295	731.397774384566
378574	774.6390694414956	761.1142805377458
383814	849.5072429525817	855.1844286869422
389814	749.4064711382862	733.3139753861874
395814	803.4750262764771	791.207336401051
401717	826.7901263126587	819.2656368471692
407201	692.0692239858398	785.0337651391685
413028	748.2913723139211	820.3246595669896
418549	701.2345397844522	796.9819498521318
424549	688.6302926546097	794.0419348654414
430549	928.8362908810066	949.3419010360437
436383	857.6394144597043	836.1298612105968
441530	899.3729839334153	917.5521088339201
446964	882.0791408964724	865.5401950353506
452372	909.7452224342926	963.2751036727072
