timestep	mean	median
5849	744.057945329476	741.6572676891112
11849	956.4804763448607	960.4210764303643
17849	975.5211653209908	978.0945371446505
23849	969.3695003399865	1027.3546726330346
28998	1009.0910460885541	1027.898169273551
34998	1073.163165177901	1043.611175804567
40964	990.7187644542471	1062.815279100755
46964	918.5850257514433	1005.5378068215102
52964	859.6680598201907	1008.4112195469709
58640	1004.1128836454051	1047.7767978790725
63731	1004.678803666422	1013.5730302459615
68811	945.3157505802953	1095.7422781811315
74811	1134.2089634383617	1241.04459053376
80187	1000.8537018200468	1041.6358444250282
85882	1043.7047460838965	1248.4868066667814
91717	1099.804351003117	1110.3284224221056
97186	1005.5865928890419	1021.7464774929164
102194	839.6856898050925	959.1052043658933
107224	856.0233799807844	933.9486921867656
112479	898.4214722389745	880.7304588143388
117749	760.3943794902972	801.935208368093
123749	717.1940993303531	849.3279953748254
129749	724.8226457027855	773.9970408093709
134853	617.8168774294082	652.6101696917567
140527	735.2173447177529	765.2319641129345
146231	574.951061282976	731.4402132845385
151333	271.74182438248044	197.3207045843085
157247	200.70665750220783	812.9319327913975
162676	-5517.235070445124	-1524.7101041930962
167780	-10283.648492182858	-7370.521183815132
173011	-85.31718197359834	-44.263132391036486
178656	-836.1039138358659	-740.4215615834282
184634	-43222.51567280876	-22313.991267797304
189799	-9542.875198948266	-10290.467695151583
195799	-22511.21611872658	-18567.92770912274
201017	-17961.395347676273	-16255.993257996015
206256	-52420.49139681868	-32416.300396029983
211333	-36835.71285021164	-25837.67626483366
216532	-59089.488254861455	-63459.6035570331
221911	-37130.67431969556	-24376.78043557804
227059	-30689.245236176823	-32121.056216483084
232509	-47510.044069247364	-51872.735769145234
237954	-166189.35118816706	-124626.85009227257
243334	-49019.09064361659	-52354.735000136105
248595	-54861.90379390441	-60135.678853412996
254159	-25219.957468105167	-12586.889502656764
259469	-198724.03900508536	-28035.629855178497
